問　　　　　題,選択肢 ア,選択肢 イ,正解
What （　　） he have?―― He have some apples.,Does,Do,ア
（　　） does he have?―― He have some apples.,Who,What,イ
Who plays the guitar?―― Ken （　　）.,does,do,ア
Who plays the guitar?―― My brothers （　　）.,does,do,イ
He （　　） like math.,doesn't,don't,ア
He doesn't （　　） math.,likes,like,イ
（　　） Tom study math? ,Does,Do,ア
Does Tom （　　） math? ,study,studys,ア
Does Tom study math? - （　　）, he does.,No,Yes,イ
Does Tom study math? -  No, he （　　）.,doesn't,does,ア
（　　） does Mary have? - She has some flowers.,How ,What,イ
What （　　） Mary have? - She has some flowers.,does,do,ア
What does Mary have? - She （　　） some flowers.,have,has,イ
He （　　） like cats.,do not,does not,イ
（　　） does not like cats.,I,He,イ
（　　） Mami work for a bank? ,Does,Do,ア
Does Mami （　　） for a bank? ,works,work,イ
Does Mami work for a bank? ―― Yes, she （　　）.,does,do,ア
Does Mami work for a bank? ―― No, she （　　）.,does,does not,イ
（　　） the window.―― OK.,Open,Do,ア
Open the window.―― （　　）.,No, I'm not.,OK.,イ
（　　） close the door.―― All right.,Who,Please,イ
Please （　　） the door.―― All right.,closes,close,イ
（　　）, open the window.,Tom,What,ア
Tom, （　　） the window.,open,opens,ア
（　　） open the window.,Not,Don't,イ
Don't open the （　　）.,window,it,ア
Please （　　） close the door.,don't,not,ア
（　　） don't close the door.,He,Please,イ
（　　） play tennis.,Let's,Go,ア
Let's play tennis.―― Yes, （　　）.,let's not,let's,イ
（　　） the door.,Opens,Open,イ
Tom, （　　） up.,stands,stand,イ
（　　） come here.,Please,Be,ア
Please （　　） here.,come,comes,ア
（　　） swim here.,Don't,Not,ア
Don't （　　） here.,swims,swim,イ
Please （　　） open the box.,don't,not,ア
Please don't （　　） the box.,open,opens,ア
（　　） play baseball after school. - No, let's not.,Let,Let's,イ
Let's （　　） baseball after school. - Yes, let's.,play,plays,ア
Let's play baseball after school. - Yes, （　　）.,let's not,let's,イ
Let's play baseball after school. - No, （　　）.,let's not,let's,ア
（　　） your hands before dinner, Yumi.,Wash,Washes,ア
Ken, （　　） kind to everyone in your class.,be,×,ア
（　　） close the front door.,Please,Be,ア
Please （　　） the front door.,close,closes,ア
（　　） stand up from your seat.,Don't,Doesn't,ア
Don't （　　） up from your seat.,stands,stand,イ
Don't （　　） noisy in the library.,be,×,ア
（　　） be noisy in the library.,Don't,Doesn't,ア
（　　） play video games in my room.,Let,Let's,イ
Let's （　　） video games in my room.,play,plays,ア
This book is （　　）.,mine,my,ア
That bike is （　　）.,her,hers,イ
This computer is （　　）.,Ken's,Ken,ア
That computer is my （　　）., father's,father,ア
（　　） bike is this?―― It's mine.,Who,Whose,イ
Whose bike is this?―― It's （　　）.,mine,me,ア
That is （　　） school.,our,us,ア
This bag is （　　）.,mine,my,ア
Is that car （　　）?,Jhon,Jhon's,イ
This bike is （　　）.,his,him,ア
（　　） computer is this?,Whose,Who,ア
It's nine （　　）.,o'clock,clock,ア
（　　） nine o'clock.,This is,It's,イ
（　　） is it?―― It's ten thirty.,What day,What time,イ
What time is it?――（　　）ten thirty.,This is,It's,イ
（　　） do you get up?―― I get up at seven.,What time,What day,ア
What time do you get up?―― I get up （　　） seven.,at,on,ア
What day is it today?―― It's （　　）.,Friday,January 3,ア
What day is it today?――（　　） Friday.,Today,It's,イ
（　　） is it today?―― It's Friday.,What day,What date,ア
What's the （　　） today?―― It's June 2.,day,date,イ
（　　） the date today?―― It's June 2.,What's,What,ア
（　　） sunny today.,It,It's,イ
（　　） time is it now? ,What,How,ア
What （　　） is it now? - It's seven.,time,×,ア
What time （　　） now? - It's seven o'clock.,it,is it,イ
What time is it now? - （　　） seven o'clock.,It's,It,ア
What time is it now? - It's seven （　　）.,clock,o'clock,イ
（　　） do you get up? - I get up at six thirty.,What time,What day,ア
What time （　　） you get up? - I get up at six thirty.,do,are,ア
（　　） is it today? - It's Tuesday.,What date,What day,イ
What day is it today? - It's （　　）.,Tuesday,January 1,ア
（　　） the date today? - It's February 5.,What day,What is,イ
What is （　　） today? - It's February 5.,the date,it,ア
What is the date today? - It's （　　）.,February 5,Sunday,ア
（　　） is it now? ―― It's three fifty.,What time,What,ア
What time is it now? ―― （　　） three fifty.,This is,It's,イ
（　　） do you usually go to bed? ―― I go to bed at eleven.,What time,What day,ア
What time （　　） you usually go to bed? ―― I go to bed at eleven.,do,are,ア
What time do you usually go to bed? ―― I go to bed （　　） eleven.,on,at,イ
What （　　） is it today?―― It is Wednesday.,day,week,ア
What day is it today?―― It is （　　）.,five o'clock,Wednesday,イ
What is （　　） today?―― It is December 6.,×,the date,イ
What is the date today?―― It is （　　）.,December 6,Friday,ア
I get up （　　） six in the morning.,at,on,ア
I get up at six （　　） the morning.,on,in,イ
Buy this book （　　）  the store in Tokyo.,at,on,ア
Buy this book at the store （　　）  Tokyo.,on,in,イ
Tom （　　）  Ken are good friends.,and,or,ア
You bike is new, （　　）  mine is old.,and,but,イ
Use a pen （　　）  a pencil.,but,or,イ
We swim （　　） summer.,in,at,ア
I play tennis （　　） Sunday.,for,on,イ
Our school begins （　　） eight.,at,under,ア
She cooks （　　） the kitchen.,in,before,ア
The pen （　　） that desk is yours.,after,on,イ
I live （　　） the park.,near,until,ア
He works （　　） Monday to Friday.,on,from,イ
He works from Monday （　　） Friday.,to,on,ア
She takes a walk （　　） me every day.,with,before,ア
Jack （　　） I are good friends.,or,and,イ
He is kind, （　　） I don't like him.,but,or,ア
（　　）  is my book?―― It's on the desk.,Where,When,ア
Where is my book?―― （　　）  on the desk.,It,It's,イ
（　　）  do you live?―― I live in Tokyo.,Where,Which,ア
（　　）  is your birthday?―― It's September 15.,Whose,When,イ
When is your birthday?―― It's （　　）.,September 15,on the desk,ア
（　　） do you play tennis?―― I play tennis after school.,Where,When,イ
When do you play tennis?―― I play tennis （　　）.,after school,in the park,ア
（　　） is this book?―― It's mine.,Which,Whose,イ
Whose is this book?――（　　） mine.,This one is,It's,イ
（　　） is your book?―― This one is (mine).,Which,Whose,ア
Which is your book?――（　　） is (mine).,This one,It,ア
（　　） is your desk? - This is mine.,Which,What,ア
Which is your desk? - （　　） is mine.,This,It,ア
（　　） flower do you like? - I like that flower.,Which,What,ア
Which flower do you （　　）? - I like that flower.,know,like,イ
Which （　　） your pen, this one or that one? - This one is mine.,is,are,ア
（　　） is your pen, this one or that one? - This one is mine.,What,Which,イ
（　　） do you live? - I live in London.,When,Where,イ
Where do you （　　）? - I live in London.,live,go,ア
（　　） does Jim go to the library? - He goes there on Sunday.,When,Where,ア
When （　　） Jim go to the library? - He goes there on Sunday.,does,is,ア
（　　） is this new computer?,Who,Whose,イ
Whose （　　） this new computer?,does,is,イ
（　　） does Lisa live? ―― She live in London.,Where,Which,ア
Where does Lisa （　　）? ―― She live in London.,come,live,イ
（　　） are your balls? ―― They are under the bed.,Where,When,ア
Where （　　） your balls? ―― They are under the bed.,is,are,イ
Where are your balls? ―― （　　） are under the bed.,They,It,ア
Which is your bike? ―― （　　） is mine.,IT,That,イ
（　　） is your bike? ―― That is mine.,Which,Where,ア
（　　） do you call your grandmother? ―― We call her on Sundays.,What,When,イ
When do you （　　） your grandmother? ―― We call her on Sundays.,call,live,ア
（　　） do you go to school?―― I go to school by bus.,How ,What,ア
How do you go to school?―― I go to school （　　）.,at eight,by bus,イ
How （　　） books do you have?―― I have about thirty.,old,many,イ
How （　　） are you?―― I'm twelve (years old).,long,old,イ
How old are you?―― （　　） twelve (years old).,It's,I'm,イ
How （　　） is Ken?―― He's 160 centimeters tall.,long,tall,イ
How （　　） is this bridge?―― It's ten meters long.,tall,long,イ
How （　　） pencils do you have? - I have two pencils.,many,much,ア
（　　） many pencils do you have? - I have two .,What,How,イ
（　　） do you go to school? - I go to school by bus.,When,How,イ
How （　　） do you go to school? - I go to school by bus.,×,long,ア
（　　） old are you? - I'm thirteen .,How,Which,ア
How （　　） are you? - I'm thirteen years old.,tall,old,イ
How is （　　） today? ―― It is rainy.,the weather,weather,ア
（　　） the weather today? ―― It's rainy.,How,How's,イ
（　　） does Mr. Brown go to school? ―― He goes there by train.,How,When,ア
How （　　） Mr. Brown go to school? ―― He goes there by train.,old,does,イ
How （　　） is your sister, Ann?―― She is twenty years old now.,old,many,ア
（　　） old is your sister, Ann?―― She's twenty years old now.,Where,How,イ
I （　　）speak English.,can,am,ア
My father （　　） speak English.,can,is,ア
My father can （　　） English.,speaks,speak,イ
I （　　） use this computer.,am not,can't,イ
Can you play tennis?―― Yes, I （　　）.,can't,can,イ
Can you play tennis?―― No, I （　　）.,can't,can,ア
（　　） you play tennis?―― Yes, I can.,Do,can,イ
What （　　） you see?―― I can see a lot of stars.,can,do,ア
What can you see?―― I （　　） see a lot of stars.,can't,can,イ
I （　　） play the piano.,can,am,ア
He （　　） run fast.,is,can,イ
He can （　　） fast.,runs,run,イ
I （　　） get up early.,cannot,am not,ア
（　　） you swim? ,Are,Can,イ
Can you swim? - Yes, I （　　）.,can,cannot,ア
Can you swim? - （　　）, I can't.,No,Yes,ア
（　　） I go home? - All right.,Can,Do,ア
Can I go home? - All （　　）.,night,right,イ
（　　） you write your name here? - Sure.,Can,Are,ア
Yukari （　　） play the piano well.,cans,can,イ
Yukari can （　　） the piano well.,plays,play,イ
I （　　） drive a car.,cnnot,cannot,イ
（　　） your father ski today?,Can,Cans,ア
Can your father ski today?―― Yes, he （　　）.,cans,can,イ
Can your father ski today?―― No, he （　　）.,can,cannot,イ
I am （　　） TV now.,watching,watch,ア
I （　　） watching TV now.,×,am,イ
I （　　） watching TV now.,do not,am not,イ
I'm not （　　） TV now.,watching,watch,ア
（　　） you watching TV now?―― Yes, I am.,Do,Are,イ
Are you watching TV now?―― Yes, I （　　）.,am,do,ア
Are you watching TV now?―― No, I（　　）.,do not,am not,イ
What （　　） you reading now?―― I'm reading a magazine.,are,do,ア
What are you reading now?―― I'm （　　） a magazine.,read,reading,イ
What are you （　　） now?―― I'm reading a magazine.,reading,watching,ア
I'm （　　） a newspaper now.,reading,read,ア
（　　） reading a newspaper now.,I,I'm,イ
（　　） are writing a letter.,You're,You,イ
You are （　　） a letter.,writing,write,ア
（　　） is swimming in the river.,He,You,ア
He is （　　） in the river.,swims,swimming,イ
I'm not （　　） a book.,reading,read,ア
I'm （　　） a book.,not read,not reading,イ
She （　　） playing tennis.,isn't,aren't,ア
She isn't （　　） tennis.,playing,play,ア
Are you （　　） TV? ,watching,watch,ア
Are you watching TV? - Yes, I （　　）.,do,am,イ
Are you watching TV? - （　　）, I am not.,Yes,No,イ
（　　） are you doing? - I'm washing the dishes.,What,How,ア
What （　　） doing? - I'm washing the dishes.,are you,you are,ア
（　　） are they playing baseball? - They are playing baseball in the park.,Where,When,ア
Where （　　） they playing baseball? - They are playing baseball in the park.,are,aren't,ア
Who is （　　） on the bench? - Bob is.,siting,sitting,イ
（　　） is sitting on the bench? - Bob is.,Where,Who,イ
They （　　） Kate in the kitchen.,are helping,helping,ア
They are （　　） Kate in the kitchen.,help,helping,イ
Tom is not （　　） lunch now.,have,having,イ
Tom （　　） lunch now.,is not having,not is having,ア
Are you （　　） on the cell phone in the living room?,talking,talk,ア
Are you talking on the cell phone in the living room? ―― Yes, I （　　）.,do,am,イ
Are you talking on the cell phone in the living room? ―― No, I （　　）.,do not,am not,イ
（　　） you talking on the cell phone in the living room?,Are,Do,ア
I （　　） baseball yesterday.,played,play,ア
I played baseball （　　）.,yesterday,tomorrow,ア
I （　　）play baseball yesterday.,don't,didn't,イ
I didn't play baseball （　　）.,tomorrow,yesterday,イ
（　　） you watch TV last night?,Did,Do,ア
Did you （　　） TV last night?,watch,watched,ア
Did you watch TV last night?―― Yes, I （　　）.,do,did,イ
Did you watch TV last night?―― No, I （　　）.,did,didn't,イ
What （　　） you study last night?――I studied English.,did,do,ア
What did you （　　） last night?――I studied English.,studied,study,イ
What did you study last night?――I （　　） English.,studied,study,ア
I （　　） soccer yesterday.,played,play,ア
I played soccer （　　）.,tomorrow,yesterday,イ
I （　　） play the piano yesterday.,don't,did not,イ
I didn't play the piano （　　）.,tomorrow,yesterday,イ
（　　） you play baseball yesterday? ,Did,Do,ア
Did you play baseball yesterday? - Yes, I （　　）.,did,do,ア
Did you play baseball yesterday? - No, I （　　）.,don't,didn't,イ
I （　　） English last night.,studied,study,ア
I studied English （　　）.,next week,last night,イ
Ken （　　） call Lisa yesterday.,did not,do not,ア
Ken did not （　　） Lisa yesterday.,calls,call,イ
Did you （　　） your shoes, Masashi?,wash,washing,ア
Did you wash your shoes, Masashi?　―― Yes, I （　　）.,am,did,イ
Did you wash your shoes, Masashi?　―― No, I （　　）.,am not,didn't,イ
He （　　） to Tokyo last week.,goed,went,イ
He went to Tokyo （　　） week.,last,next,ア
He （　　） go to Tokyo last week.,didn't,don't,ア
He didn't （　　） to Tokyo last week.,goes,go,イ
（　　） he go to Tokyo last week?,Did,Does,ア
Did he go to Tokyo last week?―― Yes, he （　　）.,went,did,イ
Did he go to Tokyo last week?――No, he （　　）.,doesn't,didn't,イ
What （　　） you see in the park?―― I saw beautiful flowers.,did,do,ア
What did you （　　） in the park?―― I saw beautiful flowers.,saw,see,イ
What did you see in the park?―― I （　　） beautiful flowers.,saw,seed,ア
He （　　） to Japan ten years ago.,came,comes,ア
He came to Japan ten （　　） ago.,year,years,イ
Bob （　　） e-mail to her one hour ago.,send,sent,イ
I didn't （　　） well last night.,slept,sleep,イ
I （　　） sleep well last night.,didn't,don't,ア
（　　） Tom buy a bike on the Internet? ―― Yes, he did.,Can,Did,イ
Did Tom （　　） a bike on the Internet? ―― No, he did not.,buy,bought,ア
They sing （　　）.,well,good,ア
They （　　）.,well sing,sing well,イ
This flower is （　　） beautiful.,always,very,イ
This flower is （　　）.,beautiful very,very beautiful,イ
You swim（　　）.,fast very,very fast,イ
I （　　） lunch here.,always have,have always,ア
Kate and Tom speak Japanese （　　）.,well,good,ア
I like my friends （　　）.,much very,very much,イ
The stadium is （　　）.,very big,big very,ア
They study （　　） every day.,very hard,hard very,ア
Ken （　　） always happy.,×,is,イ
Ken （　　） happy.,is always,always is,ア
I （　　） early in the morning.,always get up,get up always,ア
